CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1/1/2013,25,18,11,9,4,1,73,55,36,30.22,30.19,30.13,10,10,10,14,9,21,0.00,2,,319
1/2/2013,30,20,10,15,8,1,73,58,42,30.23,30.16,30.10,10,10,10,16,8,20,0.00,3,,227
1/3/2013,29,24,18,24,19,13,85,77,69,30.27,30.17,30.07,10,9,5,17,12,22,T,7,Snow,266
1/4/2013,36,25,13,22,16,8,84,68,52,30.25,30.21,30.13,10,10,10,25,13,33,0.00,0,,248
1/5/2013,39,29,18,34,27,16,100,77,54,30.25,30.09,29.94,10,7,1,22,10,29,0.03,6,Rain-Snow,216
1/6/2013,36,27,18,33,22,18,92,78,63,30.34,30.11,29.89,10,8,6,22,12,29,0.00,5,,278
1/7/2013,41,28,15,26,21,14,92,69,45,30.34,30.22,30.12,10,10,7,25,13,32,0.00,3,,204
1/8/2013,44,32,21,29,26,21,92,73,45,30.17,30.10,30.02,10,9,6,17,8,25,0.00,7,,191
1/9/2013,50,39,27,31,25,19,82,57,31,30.49,30.27,30.00,10,10,10,33,14,45,T,3,,262
1/10/2013,45,34,22,41,30,20,100,73,45,30.51,30.20,29.90,10,7,2,21,9,24,0.63,7,Rain,128
1/11/2013,52,46,39,52,48,42,100,95,81,29.86,29.73,29.65,10,6,1,22,11,29,0.31,8,Rain,194
1/12/2013,53,42,30,47,34,25,85,74,62,29.97,29.87,29.71,10,10,7,24,13,30,0.06,8,Rain,268
1/13/2013,30,26,22,28,19,6,92,87,81,30.25,30.03,29.85,10,8,4,14,11,14,0.10,7,Rain-Snow,303
1/14/2013,25,19,12,12,9,6,80,68,55,30.45,30.42,30.27,10,10,10,9,8,12,0.00,2,,270
1/15/2013,31,22,12,16,13,10,88,68,47,30.44,30.32,30.12,10,10,10,7,2,9,0.00,2,,261
